runNames,00_StarCount,01_CampaignLength season,02_Number of revisits faster than 30.0 minutes,03_Uniformity observationStartMJD,FomSum
footprint_stuck_rollingv1.5_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
footprint_standard_goalsv1.5_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
footprint_big_sky_dustv1.5_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
footprint_bluer_footprintv1.5_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
footprint_big_wfdv1.5_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
third_obs_pt120v1.5_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
footprint_no_gp_northv1.5_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
footprint_big_skyv1.5_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
footprint_newBv1.5_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
footprint_big_sky_nouiyv1.5_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
footprint_newAv1.5_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
footprint_add_mag_cloudsv1.5_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
third_obs_pt45v1.5_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
footprint_gp_smoothv1.5_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
third_obs_pt15v1.5_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
third_obs_pt90v1.5_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
third_obs_pt60v1.5_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
third_obs_pt30v1.5_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_nm_scale0.6_nslice2_v1.7_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_scale0.9_nslice3_v1.7_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_nm_scale0.9_nslice3_v1.7_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_scale0.6_nslice2_v1.7_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_scale0.8_nslice3_v1.7_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_nm_scale1.0_nslice3_v1.7_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_scale0.2_nslice3_v1.7_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_scale0.4_nslice3_v1.7_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_nm_scale0.8_nslice3_v1.7_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_nm_scale0.2_nslice3_v1.7_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_scale1.0_nslice3_v1.7_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_nm_scale0.4_nslice3_v1.7_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
footprint_0_v1.710yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_nm_scale0.2_nslice2_v1.7_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_scale1.0_nslice2_v1.7_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
footprint_1_v1.710yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_nm_scale0.4_nslice2_v1.7_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_nm_scale0.8_nslice2_v1.7_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
footprint_3_v1.710yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
footprint_2_v1.710yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
footprint_7_v1.710yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_nm_scale1.0_nslice2_v1.7_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_scale0.2_nslice2_v1.7_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_scale0.4_nslice2_v1.7_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
footprint_6_v1.710yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_scale0.8_nslice2_v1.7_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
footprint_4_v1.710yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
footprint_5_v1.710yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_nm_scale0.9_nslice2_v1.7_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_scale0.6_nslice3_v1.7_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
footprint_8_v1.710yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_nm_scale0.6_nslice3_v1.7_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_scale0.9_nslice2_v1.7_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
baseline_nexp2_scaleddown_v1.6_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_fpo_3nslice0.8_v1.6_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_fpo_2nslice0.8_v1.6_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
combo_dust_v1.6_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_fpo_6nslice0.9_v1.6_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
baseline_nexp1_v1.6_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
even_filters_g_v1.6_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_fpo_2nslice1.0_v1.6_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_fpo_3nslice1.0_v1.6_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
even_filters_altv1.6_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_exgal_mod2_dust_sdf_0.80_v1.6_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
combo_dust_nexp2_v1.6_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
even_filtersv1.6_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_fpo_6nslice1.0_v1.6_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
baseline_nexp2_v1.6_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_fpo_6nslice0.8_v1.6_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_fpo_2nslice0.9_v1.6_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_fpo_3nslice0.9_v1.6_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
rolling_exgal_mod2_dust_sdf_0.80_nexp2_v1.6_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
even_filters_alt_g_v1.6_10yrs,1.0898714484755783,0.041666666666666664,1.3931749999999998,0.09772128718545868,2.6224344023277033
